Journal,Publisher,ISSN,eISSN,IF,zky
JOURNAL OF PERINATAL & NEONATAL NURSING,LIPPINCOTT WILLIAMS & WILKINS,0893-2190,1550-5073,1.5,4
Journal of Renal Care,WILEY,1755-6678,1755-6686,1.5,4
European Journal of Midwifery,EUROPEAN PUBLISHING,2585-2906,2585-2906,1.5,4
JNP- The Journal for Nurse Practitioners,ELSEVIER SCIENCE INC,1555-4155,1878-058X,1.5,4
Journal of the American Psychiatric Nurses Association,SAGE PUBLICATIONS INC,1078-3903,1532-5725,1.5,4
AORN JOURNAL,WILEY,0001-2092,1878-0369,1.5,4
Dimensions of Critical Care Nursing,LIPPINCOTT WILLIAMS & WILKINS,0730-4625,1538-8646,1.4,4
Critical Care Nursing Clinics of North America,W B SAUNDERS CO-ELSEVIER INC,0899-5885,1558-3481,1.4,4
International Journal of Nursing Knowledge,WILEY,2047-3087,2047-3095,1.4,4
Nurse Leader,ELSEVIER SCIENCE INC,1541-4612,1541-4620,1.3,4
Journal of Child Health Care,SAGE PUBLICATIONS LTD,1367-4935,1741-2889,1.3,4
Investigacion y Educacion en Enfermeria,"UNIV ANTIOQUIA, FAC ENFERMERIA",0120-5307,2216-0280,1.3,4
Holistic Nursing Practice,LIPPINCOTT WILLIAMS & WILKINS,0887-9311,1550-5138,1.3,4
International Journal of Nursing Education Scholarship,WALTER DE GRUYTER GMBH,2194-5772,1548-923X,1.3,4
CIN-COMPUTERS INFORMATICS NURSING,LIPPINCOTT WILLIAMS & WILKINS,1538-2931,1538-9774,1.3,4
Clinical Journal of Oncology Nursing,ONCOLOGY NURSING SOC,1092-1095,1538-067X,1.3,4
Journal of Transcultural Nursing,SAGE PUBLICATIONS INC,1043-6596,1552-7832,1.2,4
JOURNAL OF NURSING CARE QUALITY,LIPPINCOTT WILLIAMS & WILKINS,1057-3631,1550-5065,1.2,4
Journal of Hospice & Palliative Nursing,LIPPINCOTT WILLIAMS & WILKINS,1522-2179,1539-0705,1.2,4
Contemporary Nurse,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1037-6178,1839-3535,1.2,4
Journal of the American Association of Nurse Practitioners,LIPPINCOTT WILLIAMS & WILKINS,2327-6886,2327-6924,1.2,4
Australian Journal of Advanced Nursing,AUSTRALIAN NURSING FEDERATION,0813-0531,1447-4328,1.2,4
Journal for Specialists in Pediatric Nursing,WILEY,1539-0136,1744-6155,1.2,4
JOURNAL OF PSYCHOSOCIAL NURSING AND MENTAL HEALTH SERVICES,SLACK INC,0279-3695,1938-2413,1.2,4
Revista da Escola de Enfermagem da USP,UNIV SAO PAOLO,0080-6234,1980-220X,1.2,4
Revista Brasileira de Enfermagem,ASSOC BRASILEIRA ENFERMAGEM,0034-7167,1984-0446,1.2,4
NURSING ECONOMICS,"JANNETTI PUBLICATIONS, INC",0746-1739,N/A,1.2,4
Research in Gerontological Nursing,SLACK INC,1940-4921,1938-2464,1.1,4
Comprehensive Child and Adolescent Nursing-Building Evidence for Practice,TAYLOR & FRANCIS INC,2469-4193,2469-4207,1.1,4
Rehabilitation Nursing,LIPPINCOTT WILLIAMS & WILKINS,0278-4807,2048-7940,1.1,4
Journal of Vascular Nursing,ELSEVIER SCIENCE INC,1062-0303,1532-6578,1.1,4
Belitung Nursing Journal,BELITUNG RAYA FOUNDATION,2528-181X,2477-4073,1.1,4
JOURNAL OF CONTINUING EDUCATION IN NURSING,SLACK INC,0022-0124,1938-2472,1.1,4
Clinical Nurse Specialist,LIPPINCOTT WILLIAMS & WILKINS,0887-6274,1538-9782,1.1,4
Enfermeria Intensiva,ELSEVIER SCIENCE INC,1130-2399,1578-1291,1.1,4
Journal for Nurses in Professional Development,LIPPINCOTT WILLIAMS & WILKINS,2169-9798,2169-981X,1.1,4
NURSING SCIENCE QUARTERLY,SAGE PUBLICATIONS INC,0894-3184,1552-7409,1.1,4
Journal of Gerontological Nursing,SLACK INC,0098-9134,1938-243X,1.1,4
Acta Paulista de Enfermagem,"UNIV FED SAO PAULO, DEPT ENFERMAGEN",0103-2100,1982-0194,1.1,4
Journal of Forensic Nursing,LIPPINCOTT WILLIAMS & WILKINS,1556-3693,1939-3938,1,4
Iranian Journal of Nursing and Midwifery Research,WOLTERS KLUWER MEDKNOW PUBLICATIONS,1735-9066,2228-5504,1,4
Journal of Korean Academy of Nursing,KOREAN SOC NURSING SCIENCE,2005-3673,2093-758X,1,4
Nurse Researcher,RCNI,1351-5578,2047-8992,1,4
Wound Management & Prevention,HMP,2640-5237,2640-5245,1,4
Journal of Pediatric Hematology-Oncology Nursing,SAGE PUBLICATIONS INC,2752-7530,2752-7549,1,4
Korean Journal of Women Health Nursing,KOREAN SOC WOMEN HEALTH NURSING,2287-1640,2093-7695,1,4
Florence Nightingale Journal of Nursing,AVES,2687-6442,2687-6442,0.9,4
International Journal of Care Coordination,SAGE PUBLICATIONS LTD,2053-4345,2053-4353,0.8,4
Nursing-Research and Reviews,DOVE MEDICAL PRESS LTD,2230-522X,2230-522X,0.8,4
Journal of Community Health Nursing,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0737-0016,1532-7655,0.8,4
Home Health Care Management and Practice,SAGE PUBLICATIONS INC,1084-8223,1552-6739,0.8,4
Pflege,HOGREFE AG-HOGREFE AG SUISSE,1012-5302,1664-283X,0.8,4
Nursing and Midwifery Studies,KASHAN UNIV MEDICAL SCIENCES,2322-1488,2322-1674,0.8,4
Advanced Emergency Nursing Journal,LIPPINCOTT WILLIAMS & WILKINS,1931-4485,1931-4493,0.8,4
Orthopaedic Nursing,LIPPINCOTT WILLIAMS & WILKINS,0744-6020,1542-538X,0.8,4
Research and Theory for Nursing Practice,SPRINGER PUBLISHING CO,1541-6577,1945-7286,0.8,4
Assistenza Infermieristica e Ricerca,PENSIERO SCIENTIFICO EDITORE,1592-5986,2038-1778,0.8,4
Nephrology Nursing Journal,"JANNETTI PUBLICATIONS, INC",1526-744X,2163-5390,0.8,4
International Journal of Palliative Nursing,MA HEALTHCARE LTD,1357-6321,1357-6321,0.7,4
Pacific Rim International Journal of Nursing Research,THAILAND NURSING & MIDWIFERY COUNCIL,1906-8107,1906-8107,0.7,4
Journal of Nursing Measurement,SPRINGER PUBLISHING CO,1061-3749,1945-7049,0.7,4
Nursing Practice Today,TEHRAN UNIV MEDICAL SCIENCES,2383-1154,2383-1162,0.7,4
Enfermeria Clinica,ELSEVIER ESPANA SLU,1130-8621,1579-2013,0.7,4
Journal of Trauma Nursing,LIPPINCOTT WILLIAMS & WILKINS,1078-7496,1932-3883,0.7,4
Gastroenterology Nursing,LIPPINCOTT WILLIAMS & WILKINS,1042-895X,1538-9766,0.7,4
Creative Nursing,SAGE PUBLICATIONS INC,1078-4535,1946-1895,0.6,4
Neonatal Network,SPRINGER PUBLISHING CO,0730-0832,1539-2880,0.6,4
Journal of Addictions Nursing,LIPPINCOTT WILLIAMS & WILKINS,1088-4602,1548-7148,0.6,4
NURSE PRACTITIONER,LIPPINCOTT WILLIAMS & WILKINS,0361-1817,1538-8662,0.6,4
Journal of Nursing and Midwifery Sciences,BRIEFLAND,2345-5756,2345-5764,0.5,4
African Journal of Nursing and Midwifery,UNISA PRESS,1682-5055,1682-5055,0.5,4
Journal of Christian Nursing,LIPPINCOTT WILLIAMS & WILKINS,0743-2550,1931-7662,0.4,4
Asian Oncology Nursing,KOREAN ONCOLOGY NURSING SOC,2287-2434,2093-7776,0.4,4
International Journal of Urological Nursing,WILEY,1749-7701,1749-771X,0.4,4
Rev Rene,"UNIV FEDERAL CEARA, DEPT ENFERMAGEM",1517-3852,2175-6783,0.4,4
Renal Society of Australasia Journal,RENAL SOC AUSTRALASIA,1832-3804,1832-3804,0.4,4
Bariatric Surgical Practice and Patient Care,"MARY ANN LIEBERT, INC",2168-023X,2168-0248,0.4,4
KONTAKT-JOURNAL OF NURSING AND SOCIAL SCIENCES RELATED TO HEALTH AND ILLNESS,"Univ South Bohemia Ceske Budejovice, Fac Health Social Sciences",1212-4117,1804-7122,0.4,4
Revista Cuidarte,UNIV SANTANDER,2216-0973,2346-3414,0.4,4
International Journal of Childbirth,SPRINGER PUBLISHING CO,2156-5287,2156-5295,0.3,4
Clinical Lactation,SPRINGER PUBLISHING CO,2158-0782,2158-0537,0.3,4
Journal of Doctoral Nursing Practice,SPRINGER PUBLISHING CO,2380-9418,2380-9426,0.2,4
Nordisk Sygeplejeforskning-Nordic Nursing Research,SCANDINAVIAN UNIV PRESS-UNIVERSITETSFORLAGET AS,1892-2678,1892-2686,0.2,4
Pielegniarstwo XXI Wieku-Nursing in the 21 Century,DE GRUYTER POLAND SP Z O O,1730-1912,2450-646X,0.2,4
Pielegniarstwo Chirurgiczne i Angiologiczne-Surgical and Vascular Nursing,TERMEDIA PUBLISHING HOUSE LTD,1897-3116,2084-9850,0.2,4
Recherche en Soins Infirmiers,ASSOC RECHERCHE & SOINS INFIRMIERS,0297-2964,2271-8362,0.2,4
Journal of Nursology,ATATURK UNIV,2822-2954,2822-2954,0.1,4
Revista de Pesquisa-Cuidado e Fundamental Online,"UNIV FEDERAL ESTADO RIO DE JANEIRO, PROGRAMA POS-GRADUACAO & ENFERMAGEM",2175-5361,2175-5361,0.1,4
Revista Rol de Enfermeria,EDICIONES ROL S L,0210-5020,0210-5020,0.1,NA
RqR Enfermeria Comunitaria,SEAPA,2253-9832,2254-8270,<0.1,4
Salud Arte y Cuidado,"UNIV CENTROCCIDENTAL LISANDRO ALVARADO, DECANATO CIENCIAS SALUD",1856-9528,1856-9528,<0.1,4
MEDICINAL RESEARCH REVIEWS,WILEY,0198-6325,1098-1128,10.9,1
NATURAL PRODUCT REPORTS,ROYAL SOC CHEMISTRY,0265-0568,1460-4752,10.2,1
JOURNAL OF MEDICINAL CHEMISTRY,AMER CHEMICAL SOC,0022-2623,1520-4804,6.9,1
ARCHIVES OF PHARMACAL RESEARCH,PHARMACEUTICAL SOC KOREA,0253-6269,1976-3786,6.9,2
Journal of Ginseng Research,KOREAN SOC GINSENG,1226-8453,2093-4947,6.8,2
PHYTOMEDICINE,ELSEVIER GMBH,0944-7113,1618-095X,6.7,1
PHYTOTHERAPY RESEARCH,WILEY,0951-418X,1099-1573,6.1,2
EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,0223-5234,1768-3254,6,2
Antioxidants,MDPI,N/A,2076-3921,6,2
Journal of Chemical Information and Modeling,AMER CHEMICAL SOC,1549-9596,1549-960X,5.7,2
JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY,TAYLOR & FRANCIS LTD,1475-6366,1475-6374,5.6,2
EXPERT OPINION ON THERAPEUTIC PATENTS,TAYLOR & FRANCIS LTD,1354-3776,1744-7674,5.4,2
ACS Pharmacology & Translational Science,AMER CHEMICAL SOC,N/A,2575-9108,5.1,3
Marine Drugs,MDPI,N/A,1660-3397,4.9,2
JOURNAL OF ETHNOPHARMACOLOGY,ELSEVIER IRELAND LTD,0378-8741,1872-7573,4.8,2
Natural Products and Bioprospecting,SPRINGERNATURE,2192-2195,2192-2209,4.8,2
Drug Design Development and Therapy,DOVE MEDICAL PRESS LTD,1177-8881,N/A,4.7,2
Chinese Herbal Medicines,ELSEVIER SINGAPORE PTE LTD,1674-6384,1674-6384,4.7,2
EJNMMI Radiopharmacy and Chemistry,SPRINGERNATURE,N/A,2365-421X,4.4,3
Pharmaceuticals,MDPI,N/A,1424-8247,4.3,3
ARCHIV DER PHARMAZIE,WILEY-V C H VERLAG GMBH,0365-6233,1521-4184,4.3,3
ACS Chemical Neuroscience,AMER CHEMICAL SOC,1948-7193,1948-7193,4.2,3
ACS Infectious Diseases,AMER CHEMICAL SOC,2373-8227,N/A,4.1,2
RSC Medicinal Chemistry,ROYAL SOC CHEMISTRY,N/A,2632-8682,4.1,3
ACS Bio & Med Chem Au,AMER CHEMICAL SOC,N/A,2694-2437,4,4
European Journal of Medicinal Chemistry Reports,ELSEVIER,2772-4174,2772-4174,4,3
Nucleic Acid Therapeutics,"MARY ANN LIEBERT, INC",2159-3337,2159-3345,4,2
MOLECULAR DIVERSITY,SPRINGER,1381-1991,1573-501X,3.9,2
JOURNAL OF PHARMACEUTICAL SCIENCES,ELSEVIER SCIENCE INC,0022-3549,1520-6017,3.7,3
CHEMICAL RESEARCH IN TOXICOLOGY,AMER CHEMICAL SOC,0893-228X,1520-5010,3.7,3
ChemMedChem,WILEY-V C H VERLAG GMBH,1860-7179,1860-7187,3.6,4
ACS Medicinal Chemistry Letters,AMER CHEMICAL SOC,1948-5875,N/A,3.5,3
DRUG DEVELOPMENT RESEARCH,WILEY,0272-4391,1098-2299,3.5,3
CURRENT MEDICINAL CHEMISTRY,BENTHAM SCIENCE PUBL LTD,0929-8673,1875-533X,3.5,4
JOURNAL OF NATURAL PRODUCTS,AMER CHEMICAL SOC,0163-3864,1520-6025,3.4,2
ADMET and DMPK,IAPC PUBLISHING,1848-7718,1848-7718,3.4,4
BIOORGANIC & MEDICINAL CHEMISTRY,PERGAMON-ELSEVIER SCIENCE LTD,0968-0896,1464-3391,3.3,3
MINI-REVIEWS IN MEDICINAL CHEMISTRY,BENTHAM SCIENCE PUBL LTD,1389-5575,1875-5607,3.3,4
Future Medicinal Chemistry,Newlands Press Ltd,1756-8919,1756-8927,3.2,4
Chemical Biology & Drug Design,WILEY,1747-0277,1747-0285,3.2,4
CURRENT TOPICS IN MEDICINAL CHEMISTRY,BENTHAM SCIENCE PUBL LTD,1568-0266,1873-4294,2.9,4
Molecular Informatics,WILEY-V C H VERLAG GMBH,1868-1743,1868-1751,2.8,4
CHIRALITY,WILEY,0899-0042,1520-636X,2.8,3
CHEMBIOCHEM,WILEY-V C H VERLAG GMBH,1439-4227,1439-7633,2.6,4
Anti-Cancer Agents in Medicinal Chemistry,BENTHAM SCIENCE PUBL LTD,1871-5206,1875-5992,2.6,4
MEDICINAL CHEMISTRY RESEARCH,SPRINGER BIRKHAUSER,1054-2523,1554-8120,2.6,4
Journal of Natural Medicines,SPRINGER JAPAN KK,1340-3443,1861-0293,2.5,4
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,PERGAMON-ELSEVIER SCIENCE LTD,0960-894X,1464-3405,2.5,4
Fitoterapia,ELSEVIER,0367-326X,1873-6971,2.5,3
DRUG DEVELOPMENT AND INDUSTRIAL PHARMACY,TAYLOR & FRANCIS LTD,0363-9045,1520-5762,2.4,4
PLANTA MEDICA,GEORG THIEME VERLAG KG,0032-0943,1439-0221,2.1,4
Research in Pharmaceutical Sciences,WOLTERS KLUWER MEDKNOW PUBLICATIONS,1735-5362,1735-9414,2.1,4
Medicinal Chemistry,BENTHAM SCIENCE PUBL LTD,1573-4064,1875-6638,1.9,4
Avicenna Journal of Phytomedicine,MASHHAD UNIV MED SCIENCES,2228-7930,2228-7949,1.9,4
NATURAL PRODUCT RESEARCH,TAYLOR & FRANCIS LTD,1478-6419,1478-6427,1.9,3
JOURNAL OF MEDICINAL FOOD,"MARY ANN LIEBERT, INC",1096-620X,1557-7600,1.7,4
Records of Natural Products,ACG PUBLICATIONS,1307-6167,1307-6167,1.5,4
Current Computer-Aided Drug Design,BENTHAM SCIENCE PUBL LTD,1573-4099,1875-6697,1.5,4
CHEMICAL & PHARMACEUTICAL BULLETIN,PHARMACEUTICAL SOC JAPAN,0009-2363,N/A,1.5,4
Natural Product Communications,SAGE PUBLICATIONS INC,1934-578X,1555-9475,1.5,4
PHARMAZIE,AVOXA-MEDIENGRUPPE DEUTSCHER APOTHEKER GMBH,0031-7144,0031-7144,1.5,4
Chemical Biology Letters,ScienceIn Publications,N/A,2347-9825,1.4,4
Revista Brasileira de Farmacognosia-Brazilian Journal of Pharmacognosy,SPRINGERNATURE,0102-695X,1981-528X,1.4,4
Phytochemistry Letters,ELSEVIER,1874-3900,1876-7486,1.3,4
JOURNAL OF ASIAN NATURAL PRODUCTS RESEARCH,TAYLOR & FRANCIS LTD,1028-6020,1477-2213,1.3,4
Letters in Drug Design & Discovery,BENTHAM SCIENCE PUBL LTD,1570-1808,1875-628X,1.2,4
JOURNAL OF LABELLED COMPOUNDS & RADIOPHARMACEUTICALS,WILEY,0362-4803,1099-1344,0.9,4
Journal of Biologically Active Products from Nature,TAYLOR & FRANCIS LTD,2231-1866,2231-1874,0.9,4
CHEMISTRY OF NATURAL COMPOUNDS,SPRINGER,0009-3130,1573-8388,0.8,4
PHARMACEUTICAL CHEMISTRY JOURNAL,SPRINGER,0091-150X,1573-9031,0.8,4
Natural Products Journal,BENTHAM SCIENCE PUBL,2210-3155,2210-3163,0.7,4
Pharmacognosy Magazine,SAGE PUBLICATIONS INDIA PVT LTD,0973-1296,0976-4062,0.6,4
Nature Reviews Earth & Environment,SPRINGERNATURE,N/A,2662-138X,49.7,1
Energy & Environmental Science,ROYAL SOC CHEMISTRY,1754-5692,1754-5706,32.4,1
Nature Climate Change,NATURE PORTFOLIO,1758-678X,1758-6798,30.3,1
Nature Sustainability,NATURE PORTFOLIO,2398-9629,2398-9629,26.2,1
Lancet Planetary Health,ELSEVIER SCI LTD,N/A,2542-5196,24.2,1
Annual Review of Environment and Resources,ANNUAL REVIEWS,1543-5938,1545-2050,15.5,1
One Earth,CELL PRESS,2590-3330,2590-3322,15.1,1
Environmental Chemistry Letters,SPRINGER HEIDELBERG,1610-3653,1610-3661,15,2
Environmental Science and Ecotechnology,ELSEVIER,2666-4984,2666-4984,14.1,1
Biochar,SPRINGER SINGAPORE PTE LTD,2524-7972,2524-7867,13.1,1
Resources Environment and Sustainability,ELSEVIER,2666-9161,2666-9161,12.4,1
JOURNAL OF HAZARDOUS MATERIALS,ELSEVIER,0304-3894,1873-3336,12.2,1
WATER RESEARCH,PERGAMON-ELSEVIER SCIENCE LTD,0043-1354,1879-2448,11.5,1
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,TAYLOR & FRANCIS INC,1064-3389,1547-6537,11.4,1
RESOURCES CONSERVATION AND RECYCLING,ELSEVIER,0921-3449,1879-0658,11.2,1
REMOTE SENSING OF ENVIRONMENT,ELSEVIER SCIENCE INC,0034-4257,1879-0704,11.1,1
Trends in Environmental Analytical Chemistry,ELSEVIER,2214-1588,2214-1588,11.1,2
ENVIRONMENTAL SCIENCE & TECHNOLOGY,AMER CHEMICAL SOC,0013-936X,1520-5851,10.9,1
GLOBAL CHANGE BIOLOGY,WILEY,1354-1013,1365-2486,10.8,1
npj Clean Water,NATURE PORTFOLIO,2059-7037,2059-7037,10.5,2
ENVIRONMENT INTERNATIONAL,PERGAMON-ELSEVIER SCIENCE LTD,0160-4120,1873-6750,10.3,1
ENVIRONMENTAL HEALTH PERSPECTIVES,US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE,0091-6765,1552-9924,10.1,1
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,WILEY,1540-9295,1540-9309,10,1
Journal of Cleaner Production,ELSEVIER SCI LTD,0959-6526,1879-1786,9.8,1
Energy Policy,ELSEVIER SCI LTD,0301-4215,1873-6777,9.3,2
Environmental Chemistry and Ecotoxicology,KEAI PUBLISHING LTD,N/A,2590-1826,9,1
Environmental Science & Technology Letters,AMER CHEMICAL SOC,2328-8930,N/A,8.9,2
Journal of Remote Sensing,AMER ASSOC ADVANCEMENT SCIENCE,N/A,2694-1589,8.8,1
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,ELSEVIER SCI LTD,0959-3780,1872-9495,8.6,1
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,SPRINGER,1569-1705,1572-9826,8.6,2
Science of The Total Environment,ELSEVIER,0048-9697,1879-1026,8.2,2
Communications Earth & Environment,SPRINGERNATURE,N/A,2662-4435,8.1,1
Chemosphere,PERGAMON-ELSEVIER SCIENCE LTD,0045-6535,1879-1298,8.1,NA
Energy Nexus,ELSEVIER,2772-4271,2772-4271,8.1,2
Journal of Environmental Management,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0301-4797,1095-8630,8,2
ENVIRONMENTAL RESEARCH,ACADEMIC PRESS INC ELSEVIER SCIENCE,0013-9351,1096-0953,7.7,2
ENVIRONMENTAL POLLUTION,ELSEVIER SCI LTD,0269-7491,1873-6424,7.6,2
Earths Future,AMER GEOPHYSICAL UNION,N/A,2328-4277,7.3,1
International Soil and Water Conservation Research,KEAI PUBLISHING LTD,2095-6339,2589-059X,7.3,1
Water Research X,ELSEVIER,N/A,2589-9147,7.2,2
Waste Management,PERGAMON-ELSEVIER SCIENCE LTD,0956-053X,1879-2456,7.1,2
Ecological Indicators,ELSEVIER,1470-160X,1872-7034,7,1
Wiley Interdisciplinary Reviews-Water,WILEY,2049-1948,2049-1948,6.8,1
Current Opinion in Environmental Science & Health,ELSEVIER,2468-5844,2468-5844,6.7,3
Environmental Technology & Innovation,ELSEVIER,2352-1864,2352-1864,6.7,2
ACS Environmental Au,AMER CHEMICAL SOC,N/A,2694-2518,6.7,2
ECOLOGICAL ECONOMICS,ELSEVIER,0921-8009,1873-6106,6.6,2
Current Opinion in Environmental Sustainability,ELSEVIER SCI LTD,1877-3435,1877-3443,6.6,1
Journal of Hazardous Materials Letters,ELSEVIER,2666-9110,2666-9110,6.6,3
Current Pollution Reports,SPRINGER HEIDELBERG,2198-6592,2198-6592,6.4,2
Advances in Climate Change Research,KEAI PUBLISHING LTD,1674-9278,1674-9278,6.4,1
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,TAYLOR & FRANCIS INC,1093-7404,1521-6950,6.4,2
Journal of Environmental Informatics,INT SOC ENVIRON INFORM SCI,1726-2135,1684-8799,6.3,2
Frontiers of Environmental Science & Engineering,HIGHER EDUCATION PRESS,2095-2201,2095-221X,6.3,2
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,ACADEMIC PRESS INC ELSEVIER SCIENCE,0147-6513,1090-2414,6.2,2
Ecosystem Services,ELSEVIER,2212-0416,2212-0416,6.1,2
Cleaner Environmental Systems,ELSEVIER,2666-7894,2666-7894,6.1,2
Reviews of Environmental Contamination and Toxicology,SPRINGER,0179-5953,2197-6554,6.1,3
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,ELSEVIER,0167-8809,1873-2305,6,1
Urban Climate,ELSEVIER,2212-0955,2212-0955,6,2
Environmental Sciences Europe,SPRINGER,2190-4707,2190-4715,6,3
Journal of Environmental Sciences,SCIENCE PRESS,1001-0742,1878-7320,5.9,2
Environmental Research Letters,IOP Publishing Ltd,1748-9326,1748-9326,5.9,2
Environmental Science-Nano,ROYAL SOC CHEMISTRY,2051-8153,2051-8161,5.8,3
AMBIO,SPRINGER,0044-7447,1654-7209,5.8,2
Science of Remote Sensing,ELSEVIER,2666-0172,2666-0172,5.7,2
Environmental Innovation and Societal Transitions,ELSEVIER,2210-4224,2210-4232,5.7,2
Sustainable Chemistry and Pharmacy,ELSEVIER,N/A,2352-5541,5.5,2
Journal of Hazardous Materials Advances,ELSEVIER,2772-4166,2772-4166,5.5,3
GLOBAL BIOGEOCHEMICAL CYCLES,AMER GEOPHYSICAL UNION,0886-6236,1944-9224,5.4,1
Environmental Health,BMC,N/A,1476-069X,5.4,2
Resources Conservation & Recycling Advances,ELSEVIER,2667-3789,2667-3789,5.4,3
Environmental and Sustainability Indicators,ELSEVIER,2665-9727,2665-9727,5.4,2
Marine Pollution Bulletin,PERGAMON-ELSEVIER SCIENCE LTD,0025-326X,1879-3363,5.3,2
Earth Systems and Environment,SPRINGER INT PUBL AG,2509-9426,2509-9434,5.3,3
Emerging Contaminants,KEAI PUBLISHING LTD,2405-6650,2405-6642,5.3,2
Cleaner Engineering and Technology,ELSEVIER,2666-7908,2666-7908,5.3,3
CONSERVATION BIOLOGY,WILEY,0888-8892,1523-1739,5.2,1
ATMOSPHERIC CHEMISTRY AND PHYSICS,COPERNICUS GESELLSCHAFT MBH,1680-7316,1680-7324,5.2,1
Water Biology and Security,KEAI PUBLISHING LTD,N/A,2772-7351,5.1,1
Sustainability Science,SPRINGER JAPAN KK,1862-4065,1862-4057,5.1,2
Journal of Geovisualization and Spatial Analysis,SPRINGERNATURE,2509-8810,2509-8829,5,1
ENVIRONMENT,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0013-9157,1939-9154,5,4
BIOLOGICAL CONSERVATION,ELSEVIER SCI LTD,0006-3207,1873-2917,4.9,1
ACS ES&T Water,AMER CHEMICAL SOC,N/A,2690-0637,4.9,3
ENVIRONMENTAL SCIENCE & POLICY,ELSEVIER SCI LTD,1462-9011,1873-6416,4.9,2
Groundwater for Sustainable Development,ELSEVIER,2352-801X,2352-801X,4.9,2
JOURNAL OF INDUSTRIAL ECOLOGY,WILEY,1088-1980,1530-9290,4.9,3
INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,SPRINGER HEIDELBERG,0948-3349,1614-7502,4.9,3
Climate Risk Management,ELSEVIER,2212-0963,2212-0963,4.8,1
CLIMATIC CHANGE,SPRINGER,0165-0009,1573-1480,4.8,2
ENVIRONMENTAL MODELLING & SOFTWARE,ELSEVIER SCI LTD,1364-8152,1873-6726,4.8,2
Environmental Development,ELSEVIER,2211-4645,2211-4653,4.7,2
Elementa-Science of the Anthropocene,UNIV CALIFORNIA PRESS,2325-1026,2325-1026,4.7,3
APPLIED CATALYSIS A-GENERAL,ELSEVIER,0926-860X,1873-3875,4.7,2
ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,SPRINGER,1387-585X,1573-2975,4.7,3
NanoImpact,ELSEVIER,2452-0748,2452-0748,4.7,3
WATER RESOURCES RESEARCH,AMER GEOPHYSICAL UNION,0043-1397,1944-7973,4.6,2
Journal of Ecohydraulics,TAYLOR & FRANCIS LTD,2470-5357,2470-5365,4.6,3
Ecological Processes,SPRINGER,N/A,2192-1709,4.6,2
Global Sustainability,CAMBRIDGE UNIV PRESS,N/A,2059-4798,4.6,2
Sustainable Environment Research,BMC,2468-2039,2468-2039,4.6,3
ENVIRONMENTAL AND EXPERIMENTAL BOTANY,PERGAMON-ELSEVIER SCIENCE LTD,0098-8472,1873-7307,4.5,2
ENVIRONMENTAL TOXICOLOGY,WILEY,1520-4081,1522-7278,4.4,3
GeoHealth,AMER GEOPHYSICAL UNION,2471-1403,2471-1403,4.4,3
ECOLOGICAL APPLICATIONS,WILEY,1051-0761,1939-5582,4.3,2
Environmental Science-Processes & Impacts,ROYAL SOC CHEMISTRY,2050-7887,2050-7895,4.3,3
Regional Sustainability,KEAI PUBLISHING LTD,2097-0129,2666-660X,4.3,2
ENVIRONMENTAL REVIEWS,CANADIAN SCIENCE PUBLISHING,1208-6053,1181-8700,4.3,2
Environmental Toxicology and Pharmacology,ELSEVIER,1382-6689,1872-7077,4.2,3
ATMOSPHERIC ENVIRONMENT,PERGAMON-ELSEVIER SCIENCE LTD,1352-2310,1873-2844,4.2,3
Remote Sensing,MDPI,N/A,2072-4292,4.2,2
Ecosystem Health and Sustainability,AMER ASSOC ADVANCEMENT SCIENCE,2096-4129,2332-8878,4.2,2
Clean Technologies and Environmental Policy,SPRINGER,1618-954X,1618-9558,4.2,4
Journal of Exposure Science and Environmental Epidemiology,SPRINGERNATURE,1559-0631,1559-064X,4.1,3
INTERNATIONAL BIODETERIORATION & BIODEGRADATION,ELSEVIER SCI LTD,0964-8305,1879-0208,4.1,3
Food and Environmental Virology,SPRINGER,1867-0334,1867-0342,4.1,3
Clean Technologies,MDPI,N/A,2571-8797,4.1,4
Climate Services,ELSEVIER,2405-8807,2405-8807,4,2
